,Accuracy,Acc sd,Acc CI,Macro F1,F1 sd,F1 CI,Balanced Acc,Bal sd,Bal CI,n_runs,Cluster Acc,Cluster sd,Cluster CI
Eigen_L2,0.48050000000000004,0.07709842194666935,"[0.3586, 0.5924]",0.41598111264022497,0.09558592683585382,"[0.2671, 0.5587]",0.48050000000000004,0.07709842194666937,"[0.3586, 0.5924]",10,0.8440000000000001,0.04930348195952628,"[0.7806, 0.9111]"
Likelihood,0.465,0.14808030854160786,"[0.3073, 0.6986]",0.42237996004575484,0.15527852348875584,"[0.2371, 0.6535]",0.465,0.14808030854160786,"[0.3073, 0.6986]",10,0.8440000000000001,0.04930348195952628,"[0.7806, 0.9111]"
Likelihood2,0.33025000000000004,0.10361152070219905,"[0.1626, 0.4583]",0.32313528792613466,0.1059401347875488,"[0.1551, 0.4457]",0.33025000000000004,0.10361152070219906,"[0.1626, 0.4582]",10,0.8674999999999999,0.03576543955645823,"[0.8123, 0.9189]"
Eigen_L2_v2,0.53725,0.1268991835189564,"[0.2812, 0.653]",0.4627339279440748,0.15294525066426795,"[0.1819, 0.6357]",0.53725,0.12689918351895643,"[0.2812, 0.653]",10,0.8674999999999999,0.03576543955645823,"[0.8123, 0.9189]"
Eigen_Oracle,0.5780000000000001,0.1468218875599502,"[0.3842, 0.8047]",0.48852422614413893,0.16734903771408716,"[0.2855, 0.7541]",0.5780000000000001,0.1468218875599502,"[0.3842, 0.8047]",10,1.0,0.0,"[1.0, 1.0]"
DS,0.5197499999999999,0.20231112590924571,"[0.2309, 0.7453]",0.5048367499435714,0.19612390933153112,"[0.2198, 0.7175]",0.5197499999999999,0.20231112590924571,"[0.2309, 0.7453]",10,0.72625,0.08450221890577786,"[0.5818, 0.8657]"
