voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
807,605,540,597,2254,741,864,806,1014,1052,4,0.3750,9,0.0000,4,9280,64
178,275,341,169,238,210,569,373,1683,384,8,0.8462,6,0.0769,8,4420,52
668,383,357,297,500,347,343,1777,299,349,7,0.0000,0,0.0179,3,5320,56
249,220,240,341,172,331,163,1604,306,459,7,0.7674,9,0.0000,7,4085,43
1606,374,268,390,272,462,471,502,294,485,0,0.8095,7,0.0952,0,5124,42
327,1762,324,298,371,327,282,402,205,313,1,0.7547,7,0.0189,1,4611,53
209,700,249,351,425,302,1401,311,498,790,6,0.8529,9,0.0588,6,5236,34
343,549,668,517,318,374,419,396,547,2106,9,0.6508,2,0.0159,9,6237,63
449,361,288,209,1227,321,278,380,399,183,4,0.5128,0,0.0769,4,4095,39
418,441,1995,577,309,400,378,360,352,332,2,0.7222,3,0.0556,2,5562,54
