voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
249,348,352,312,222,216,293,237,234,1473,9,0.5208,2,0.0000,9,3936,48
549,345,591,1952,594,401,323,325,493,487,3,0.7167,4,0.0500,3,6060,60
356,1479,303,283,351,393,380,445,332,408,1,0.5818,7,0.0182,1,4730,55
569,482,259,370,365,217,334,301,407,1400,9,0.0204,0,0.0000,6,4704,49
214,342,1481,273,417,408,412,400,342,301,2,0.0222,4,0.1333,0,4590,45
208,271,345,192,244,220,520,386,1728,358,8,0.8077,6,0.0385,8,4472,52
427,313,340,411,360,569,260,1999,337,627,7,0.7544,9,0.0000,7,5643,57
340,467,2119,574,335,331,291,332,336,275,2,0.8600,3,0.0000,2,5400,50
428,269,279,323,1594,340,312,429,423,373,4,0.6444,7,0.0000,4,4770,45
1080,161,179,218,243,269,121,269,204,181,0,0.3333,5,0.0513,9,2925,39
