voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
353,1225,169,269,220,371,355,290,169,320,1,0.7907,5,0.0000,1,3741,43
272,1375,974,302,263,280,421,453,392,240,1,0.0682,2,0.0000,7,4972,44
394,280,1569,435,305,375,531,231,407,226,2,0.0816,6,0.0000,9,4753,49
320,300,1884,428,381,263,345,434,408,682,2,0.7455,9,0.0182,2,5445,55
195,551,351,297,233,404,1817,485,299,360,6,0.0192,1,0.0577,4,4992,52
373,311,268,1725,345,253,455,331,327,304,3,0.8235,6,0.0196,3,4692,51
320,1694,366,362,266,329,183,275,275,275,1,0.0182,2,0.0182,8,4345,55
1857,362,345,215,258,522,663,374,593,589,0,0.0000,6,0.8519,6,5778,54
1694,491,373,251,373,259,416,370,195,331,0,0.8571,1,0.0000,0,4753,49
513,327,262,346,306,1807,277,203,365,298,5,0.8333,0,0.0000,5,4704,48
