voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
166,261,222,163,205,277,301,404,1546,268,8,0.8293,7,0.0244,8,3813,41
1240,344,355,537,659,383,747,508,724,1943,9,0.0000,0,0.0000,4,7440,60
395,295,293,276,490,379,425,279,317,1731,9,0.6557,4,0.0164,9,4880,61
1530,614,406,322,402,189,336,542,299,544,0,0.0417,1,0.0000,6,5184,48
355,429,481,1739,287,261,239,163,313,293,3,0.8125,2,0.0208,3,4560,48
1870,417,331,350,341,512,345,310,359,397,0,0.8333,5,0.0000,0,5232,48
402,1623,675,179,322,372,276,468,315,384,1,0.0455,2,0.0227,7,5016,44
412,410,1936,252,334,494,533,431,508,390,2,0.7800,6,0.0200,2,5700,50
232,276,313,305,440,1407,361,195,314,328,5,0.5814,4,0.0000,5,4171,43
423,1885,335,494,314,497,347,444,406,555,1,0.7544,9,0.0351,1,5700,57
