,Accuracy,Acc sd,Acc CI,Macro F1,F1 sd,F1 CI,Balanced Acc,Bal sd,Bal CI,n_runs,Cluster Acc,Cluster sd,Cluster CI
Eigen_L2,0.7666666666666667,0.1527525231651947,"[0.61, 0.895]",0.7111111111111111,0.1677740985615722,"[0.5433, 0.86]",0.7666666666666667,0.1527525231651947,"[0.61, 0.895]",3,1.0,0.0,"[1.0, 1.0]"
Likelihood,1.0,0.0,"[1.0, 1.0]",1.0,0.0,"[1.0, 1.0]",1.0,0.0,"[1.0, 1.0]",3,1.0,0.0,"[1.0, 1.0]"
Eigen_Oracle,0.758,0.15143315356948758,"[0.6005, 0.8798]",0.699219258073054,0.1719037671310045,"[0.5235, 0.8449]",0.758,0.1514331535694875,"[0.6005, 0.8798]",3,1.0,0.0,"[1.0, 1.0]"
DS,0.484,0.10948972554536798,"[0.367, 0.5551]",0.47183577247665975,0.09889708522749763,"[0.3662, 0.5363]",0.484,0.10948972554536796,"[0.367, 0.5551]",3,0.5646666666666668,0.06803920438492306,"[0.5152, 0.6368]"
