voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
390,1624,273,389,289,406,375,280,277,257,1,0.6250,5,0.0625,1,4560,48
332,412,229,373,314,361,1808,405,427,484,6,0.7959,9,0.0204,6,5145,49
1444,204,171,130,312,278,198,174,261,210,0,0.8947,4,0.0000,0,3382,38
558,869,607,406,507,445,513,2209,375,551,7,0.6719,1,0.0156,7,7040,64
274,252,1434,218,209,222,242,257,289,243,2,0.6500,8,0.0750,2,3640,40
410,470,593,290,333,310,410,283,501,1881,9,0.6032,2,0.0317,9,5481,63
213,192,461,276,281,1541,248,273,287,322,5,0.8043,2,0.1304,5,4094,46
230,259,365,246,193,439,273,241,1426,244,8,0.0227,5,0.0227,4,3916,44
485,579,663,2164,505,377,572,566,480,407,3,0.6667,2,0.0606,3,6798,66
216,279,243,550,275,293,414,491,244,1531,9,0.0000,3,0.0000,8,4536,42
