voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
563,873,749,575,853,1890,760,895,564,585,5,0.1972,7,0.1408,2,8307,71
341,1470,194,258,197,181,218,216,217,278,1,0.6667,0,0.0238,1,3570,42
570,584,402,410,483,409,367,921,1730,499,8,0.0392,7,0.2941,3,6375,51
394,370,382,586,478,358,416,1819,315,462,7,0.0161,3,0.1452,9,5580,62
228,270,343,204,179,228,275,1353,134,179,7,0.0769,2,0.0000,4,3393,39
221,295,239,285,254,352,240,348,1345,271,8,0.5800,5,0.0000,8,3850,50
435,541,387,1108,391,404,359,458,321,366,3,0.1321,1,0.0566,0,4770,53
168,125,131,173,91,166,1056,237,195,138,6,0.9677,7,0.0000,6,2480,31
316,242,232,235,273,419,1418,354,292,196,6,0.1951,5,0.4878,5,3977,41
663,1929,546,1132,588,711,636,586,994,1215,1,0.3000,9,0.0167,1,9000,60
