voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
426,267,291,419,230,482,269,1987,380,589,7,0.7000,9,0.0167,7,5340,60
574,313,369,417,2042,444,357,512,666,410,4,0.7143,8,0.0000,4,6104,56
690,379,483,740,1700,414,804,267,293,326,4,0.0208,6,0.0000,5,6096,48
236,651,605,544,536,427,1830,353,613,405,6,0.8200,1,0.0000,6,6200,50
154,210,281,149,183,93,619,272,1399,289,8,0.7805,6,0.0244,8,3649,41
310,416,2082,429,287,349,298,285,347,293,2,0.8077,3,0.0962,2,5096,52
1770,400,356,451,338,502,433,512,333,545,0,0.7872,9,0.0638,0,5640,47
331,1649,284,265,455,326,332,425,249,295,1,0.8113,4,0.0377,1,4611,53
310,240,369,1439,368,283,168,202,320,291,3,0.8333,2,0.0238,3,3990,42
266,420,510,390,236,291,351,393,440,1752,9,0.6667,2,0.0000,9,5049,51
