voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
239,1901,821,596,375,313,393,601,445,308,1,0.0893,2,0.0179,0,5992,56
419,407,265,400,298,360,379,398,335,1689,9,0.8000,0,0.0000,9,4950,45
103,1474,210,296,242,130,151,205,263,238,1,0.8696,3,0.0000,1,3312,46
400,392,174,423,513,1679,424,460,272,639,5,0.8333,9,0.0833,5,5376,48
467,319,340,324,386,421,1905,198,396,444,6,0.8200,0,0.0400,6,5200,50
1163,429,567,555,400,832,984,1738,391,557,7,0.0357,0,0.0179,2,7616,56
273,302,317,435,402,402,386,1943,499,447,7,0.8302,8,0.0000,7,5406,53
220,200,1382,479,376,241,309,144,93,246,2,0.0000,3,0.0000,4,3690,41
212,227,259,1661,479,259,331,243,376,228,3,0.8889,4,0.0667,3,4275,45
404,181,525,360,335,454,584,508,1861,428,8,0.7000,6,0.0333,8,5640,60
