voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
1862,634,653,1065,627,443,471,779,913,1493,0,0.1833,9,0.5667,9,8940,60
696,394,420,422,1450,780,602,639,590,445,4,0.0690,5,0.0172,0,6438,58
641,347,1723,224,321,394,284,376,316,250,2,0.7170,0,0.0189,2,4876,53
278,337,294,240,333,1498,290,259,280,285,5,0.0870,1,0.0000,3,4094,46
259,308,234,297,344,1111,245,330,253,268,5,0.3902,4,0.0732,5,3649,41
277,360,280,263,474,1462,274,348,349,341,5,0.2778,4,0.1296,5,4428,54
369,274,419,253,311,503,1468,345,338,370,6,0.0200,5,0.0000,4,4650,50
381,392,371,455,339,410,271,2042,358,261,7,0.0182,3,0.0000,6,5280,55
194,332,228,185,204,201,1107,268,211,215,6,0.0811,1,0.0000,8,3145,37
667,1439,488,1007,523,477,410,437,516,430,1,0.2609,3,0.0000,1,6394,46
