voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
428,714,566,585,626,477,464,743,1911,846,8,0.1406,9,0.0938,6,7360,64
433,355,307,890,1094,270,287,304,327,284,4,0.3415,3,0.0000,4,4551,41
393,390,1608,224,288,285,435,409,360,254,2,0.7391,6,0.0000,2,4646,46
186,245,235,308,317,1178,206,214,289,300,5,0.5135,4,0.1622,5,3478,37
747,281,250,404,1419,348,315,541,321,346,4,0.0227,0,0.3409,0,4972,44
199,314,415,330,416,343,1482,229,497,375,6,0.1087,8,0.1087,7,4600,46
367,211,287,218,227,336,260,246,386,1326,9,0.0000,8,0.0000,4,3864,42
944,879,729,1010,770,936,717,866,2779,1206,8,0.3023,9,0.3488,9,10836,86
1420,432,435,239,550,383,360,304,349,301,0,0.5116,4,0.0000,0,4773,43
431,838,771,1632,323,387,255,442,427,308,3,0.6078,1,0.0588,3,5814,51
