voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
373,1581,302,289,314,346,492,317,241,380,1,0.6222,6,0.1111,1,4635,45
276,365,217,355,245,327,1668,297,367,391,6,0.8478,9,0.0435,6,4508,46
1683,244,246,197,375,253,292,249,319,234,0,0.9318,4,0.0000,0,4092,44
674,215,543,587,517,388,310,372,2135,521,8,0.0000,0,0.1290,7,6262,62
394,211,1689,234,248,256,229,320,427,267,2,0.9111,8,0.0000,2,4275,45
377,418,508,270,354,250,356,246,568,1873,9,0.6552,8,0.0517,9,5220,58
200,189,474,267,305,1646,246,291,271,261,5,0.8800,2,0.0000,5,4150,50
273,306,413,280,221,540,340,278,1585,323,8,0.0000,5,0.0213,4,4559,47
345,408,450,1810,297,295,401,358,298,287,3,0.8776,2,0.0204,3,4949,49
405,501,442,542,365,266,538,412,1964,289,8,0.8333,3,0.0000,8,5724,54
