voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
542,1921,740,243,412,474,326,477,425,488,1,0.0370,2,0.0185,7,6048,54
450,422,461,464,329,1904,442,390,958,472,5,0.0192,8,0.0385,6,6292,52
378,483,544,1650,289,265,256,200,280,255,3,0.7609,2,0.0435,3,4600,46
248,347,309,293,491,1860,351,201,334,350,5,0.8269,4,0.0385,5,4784,52
276,1704,271,398,304,406,265,367,359,306,1,0.8333,5,0.0208,1,4656,48
195,225,203,187,273,285,308,428,1389,238,8,0.7317,7,0.0244,8,3731,41
883,294,442,276,362,377,506,483,714,1799,9,0.0000,0,0.0000,4,6136,52
211,179,224,228,362,329,341,193,216,1557,9,0.8958,4,0.0000,9,3840,48
493,365,1724,233,253,345,447,339,402,397,2,0.7143,0,0.0612,2,4998,49
2035,456,429,426,459,543,406,430,512,452,0,0.7241,5,0.0000,0,6148,58
