voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
284,175,346,259,154,224,137,217,1228,215,8,0.0732,2,0.0000,4,3239,41
352,289,460,314,421,550,313,235,1480,333,8,0.0851,5,0.0213,1,4747,47
1469,241,281,334,501,406,474,419,290,530,0,0.5581,9,0.0233,0,4945,43
400,304,2029,530,460,317,401,494,417,854,2,0.7241,9,0.0000,2,6206,58
430,848,552,680,1924,479,321,461,534,431,4,0.1667,1,0.1167,3,6660,60
544,370,284,412,355,1797,328,217,361,382,5,0.7200,0,0.0200,5,5050,50
1953,461,502,597,378,451,682,520,643,617,0,0.0000,6,0.4921,6,6804,63
339,1432,909,376,341,240,429,475,327,302,1,0.1489,2,0.0213,7,5170,47
192,236,307,178,212,225,245,348,1336,217,8,0.5526,7,0.1053,8,3496,38
487,442,1700,495,411,509,836,324,512,326,2,0.0566,6,0.0189,9,6042,53
