voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
1735,502,284,408,482,397,360,440,262,536,0,0.0000,9,0.0000,7,5406,51
295,1019,290,319,333,251,305,380,403,293,1,0.1458,8,0.0208,0,3888,48
1819,375,298,478,437,303,345,917,543,463,0,0.6557,7,0.0000,0,5978,61
221,366,263,256,345,1606,468,302,281,321,5,0.0000,6,0.0000,3,4429,43
587,361,1696,218,321,347,312,377,296,304,2,0.5410,0,0.0000,2,4819,61
211,222,363,194,1341,331,558,194,184,230,4,0.0455,6,0.0000,8,3828,44
226,1393,189,454,765,353,184,439,279,278,1,0.0526,4,0.0789,9,4560,38
270,198,430,210,450,212,1627,222,299,262,6,0.8182,4,0.0227,6,4180,44
360,453,407,354,463,1536,470,374,318,247,5,0.5849,6,0.0189,5,4982,53
274,497,425,558,1573,371,435,329,258,296,4,0.5789,3,0.0000,4,5016,57
