voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
295,288,464,186,388,1435,280,168,239,327,5,0.0270,2,0.0000,4,4070,37
254,1130,448,326,264,303,158,339,219,199,1,0.0000,2,0.0000,8,3640,35
1630,726,574,747,676,687,514,571,780,661,0,0.1410,8,0.0000,9,7566,78
173,97,1386,271,213,106,194,270,219,571,2,0.9429,9,0.0000,2,3500,35
709,723,927,723,844,1062,800,520,2481,841,8,0.0222,5,0.0000,1,9630,90
355,300,247,1514,288,243,562,360,289,301,3,0.7347,6,0.0204,3,4459,49
1582,356,427,249,258,473,1133,400,775,595,0,0.0000,6,0.7955,6,6248,44
301,1424,1383,516,272,342,460,358,683,324,1,0.0000,2,0.1064,7,6063,47
96,969,111,173,99,135,76,114,96,131,1,0.0000,3,0.0000,8,2000,25
630,454,354,436,439,2086,404,268,465,404,5,0.7000,0,0.0167,5,5940,60
