voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
440,330,303,384,304,1439,232,237,420,573,5,0.5952,9,0.0000,5,4662,42
351,244,400,324,474,524,747,1688,368,405,7,0.0308,6,0.0615,3,5525,65
1259,190,219,238,184,191,278,180,407,202,0,0.0278,8,0.0000,9,3348,36
344,700,442,382,579,363,426,1892,859,503,7,0.7636,8,0.0364,7,6490,55
196,222,1330,212,271,185,303,302,279,348,2,0.8158,9,0.0263,2,3648,38
627,437,485,283,248,334,418,1718,221,329,7,0.0588,0,0.0196,4,5100,51
404,459,480,358,510,611,1546,380,315,537,6,0.0536,5,0.1071,9,5600,56
1253,1343,423,437,431,543,428,508,187,207,1,0.0000,0,0.0000,6,5760,40
405,514,386,413,414,467,380,841,1785,485,8,0.7241,7,0.0345,8,6090,58
525,359,591,404,514,314,311,255,542,1554,9,0.0000,2,0.0508,0,5369,59
