voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
267,1363,361,303,432,204,332,388,229,321,1,0.5238,4,0.2143,1,4200,42
283,492,396,1163,373,1268,327,329,331,499,5,0.2558,3,0.1163,8,5461,43
574,553,1756,227,258,430,381,631,349,726,2,0.0364,9,0.0000,3,5885,55
1242,282,273,460,295,270,471,358,378,371,0,0.0455,6,0.0455,1,4400,44
323,539,417,278,333,398,399,260,312,1581,9,0.4909,1,0.0182,9,4840,55
1523,166,282,301,245,222,233,248,272,243,0,0.7556,3,0.0222,0,3735,45
372,293,483,296,241,280,344,456,1701,330,8,0.0000,2,0.0227,7,4796,44
301,241,233,306,301,277,1202,248,218,273,6,0.3778,3,0.0000,6,3600,45
519,572,522,516,626,1517,574,501,503,660,5,0.2429,9,0.0286,5,6510,70
463,360,1409,394,856,366,501,475,420,399,2,0.2632,4,0.0526,2,5643,57
