voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
302,291,297,482,256,218,580,481,246,1406,9,0.0213,6,0.0851,5,4559,47
902,724,1667,468,526,537,843,424,553,481,2,0.0175,0,0.2982,0,7125,57
532,462,378,316,776,1656,675,589,506,470,5,0.1500,4,0.0000,6,6360,60
194,213,302,163,261,133,541,310,1536,316,8,0.7755,6,0.0204,8,3969,49
566,469,531,441,469,798,504,1144,650,589,7,0.2787,5,0.0328,7,6161,61
1458,878,817,1344,720,722,616,717,795,1117,0,0.2857,3,0.3571,3,9184,56
400,234,309,1242,206,317,187,401,221,383,3,0.1795,7,0.0000,2,3900,39
253,210,239,195,256,890,246,220,298,151,5,0.0882,8,0.0882,6,2958,34
407,642,1955,778,401,408,372,564,427,477,2,0.3390,3,0.0000,4,6431,59
224,1196,256,254,337,269,255,331,182,268,1,0.6053,4,0.0263,1,3572,38
