voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
235,224,1520,185,230,293,240,321,303,397,2,0.8571,9,0.0000,2,3948,42
1119,442,729,1405,306,265,316,628,1231,615,3,0.0000,8,0.0238,9,7056,42
374,357,1698,288,162,409,312,354,435,231,2,0.0000,8,0.0727,1,4620,55
1010,309,449,599,565,776,2113,253,458,618,6,0.8000,0,0.0364,6,7150,55
338,251,332,1566,541,373,487,428,413,221,3,0.0182,4,0.0000,0,4950,55
186,127,277,164,202,1627,245,431,312,236,5,0.8511,7,0.0213,5,3807,47
397,393,1983,732,322,577,483,380,572,415,2,0.0189,3,0.0000,7,6254,53
228,393,307,485,1867,259,448,281,245,337,4,0.9000,3,0.0600,4,4850,50
188,461,414,456,372,427,1531,402,258,447,6,0.0000,1,0.0238,8,4956,42
533,321,485,333,369,256,709,330,1783,427,8,0.0508,6,0.0339,3,5546,59
