voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
198,177,188,161,1302,192,271,223,254,434,4,0.8529,9,0.0882,4,3400,34
372,1907,288,399,361,300,517,318,262,322,1,0.5517,6,0.0172,1,5046,58
187,191,166,211,229,270,1308,167,212,227,6,0.9697,5,0.0000,6,3168,33
250,374,299,215,271,285,241,182,196,1509,9,0.8974,1,0.0256,9,3822,39
1059,1163,1064,1524,1016,1171,2858,1015,1074,1056,6,0.0700,3,0.0000,8,13000,100
1271,259,363,389,326,285,342,288,317,227,0,0.5102,3,0.0204,0,4067,49
351,557,338,294,452,2302,433,466,326,495,5,0.6774,1,0.0000,5,6014,62
199,460,223,1317,271,276,341,492,309,283,3,0.6744,7,0.0000,3,4171,43
256,125,297,136,154,176,193,104,1057,206,8,0.0000,2,0.0385,7,2704,26
341,426,602,470,485,382,361,376,547,1498,9,0.0536,2,0.1429,3,5488,56
