voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
155,276,266,332,396,307,229,270,314,1535,9,0.8750,4,0.0000,9,4080,40
144,1501,213,174,201,278,274,174,178,238,1,0.8889,5,0.0000,1,3375,45
428,202,1735,227,269,305,294,209,195,323,2,0.8302,0,0.0377,2,4187,53
347,266,308,1619,348,243,250,480,438,302,3,0.8837,7,0.0000,3,4601,43
1952,986,399,705,544,399,317,360,410,445,0,0.8367,1,0.0000,0,6517,49
731,603,643,940,613,1749,725,675,662,639,5,0.4342,3,0.0789,5,7980,76
335,359,389,401,290,284,350,438,1931,629,8,0.8302,9,0.0000,8,5406,53
1621,405,354,386,298,266,254,253,409,446,0,0.0435,9,0.0000,7,4692,46
279,277,350,775,1925,637,306,483,259,344,4,0.8367,3,0.0204,4,5635,49
250,268,305,249,234,1501,253,265,287,206,5,0.0652,2,0.0000,6,3818,46
