voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
201,332,320,389,498,356,260,327,361,1648,9,0.8478,4,0.0217,9,4692,46
232,1858,350,295,279,382,364,336,277,331,1,0.8571,5,0.0000,1,4704,49
490,236,1895,259,347,315,331,252,246,385,2,0.8103,0,0.0345,2,4756,58
345,237,324,1679,368,233,284,436,410,292,3,0.8333,7,0.0000,3,4608,48
1969,1012,383,758,554,397,330,368,427,429,0,0.8723,1,0.0000,0,6627,47
579,478,407,670,355,1833,472,482,501,418,5,0.6780,3,0.0847,5,6195,59
264,310,325,314,228,244,280,315,1825,536,8,0.8824,9,0.0000,8,4641,51
1761,398,384,421,335,274,262,296,422,445,0,0.0408,9,0.0000,7,4998,49
376,186,232,352,262,275,186,1428,334,176,7,0.0000,0,0.0213,4,3807,47
268,258,307,220,246,1508,231,277,306,243,5,0.0435,2,0.0000,6,3864,46
