,Accuracy,Acc sd,Acc CI,Macro F1,F1 sd,F1 CI,Balanced Acc,Bal sd,Bal CI,n_runs,Cluster Acc,Cluster sd,Cluster CI
Eigen_L2,0.40499999999999997,0.16402235619979774,"[0.2235, 0.6611]",0.3575424568711265,0.170596938241836,"[0.1785, 0.6335]",0.40499999999999997,0.16402235619979777,"[0.2235, 0.6611]",10,0.621,0.15032187687315066,"[0.4525, 0.8321]"
Likelihood,0.30859999999999993,0.09219327524282886,"[0.1855, 0.4724]",0.2672123103551538,0.09805043009604039,"[0.1464, 0.4471]",0.3086,0.09219327524282887,"[0.1855, 0.4724]",10,0.621,0.15032187687315066,"[0.4525, 0.8321]"
Likelihood2,0.20939999999999998,0.052738769209925415,"[0.1514, 0.2935]",0.20210946896868337,0.054543980903898726,"[0.1436, 0.2896]",0.20940000000000003,0.052738769209925436,"[0.1514, 0.2936]",10,0.7162,0.11835708681781587,"[0.5058, 0.8395]"
Eigen_L2_v2,0.4978000000000001,0.16368384159714727,"[0.2686, 0.6843]",0.44577918804577077,0.1619349781987877,"[0.2333, 0.6539]",0.4978000000000001,0.16368384159714727,"[0.2686, 0.6843]",10,0.7162,0.11835708681781587,"[0.5058, 0.8395]"
DS,0.42060000000000003,0.11296823545679656,"[0.2602, 0.5607]",0.4078758717888328,0.10899257749258721,"[0.2582, 0.5395]",0.42060000000000003,0.11296823545679655,"[0.2602, 0.5606]",10,0.5486000000000001,0.04780562495959839,"[0.4945, 0.6339]"
