,Accuracy,Acc sd,Acc CI,Macro F1,F1 sd,F1 CI,Balanced Acc,Bal sd,Bal CI,n_runs
Eigen_L2,0.775,0.14849242404917495,"[0.6753, 0.8748]",0.7428993499802015,0.1933262279619881,"[0.613, 0.8728]",0.775,0.14849242404917512,"[0.6752, 0.8748]",2
DS,0.595,0.021213203435596444,"[0.5807, 0.6092]",0.5687880648794728,0.011256996517469905,"[0.5612, 0.5763]",0.595,0.021213203435596444,"[0.5807, 0.6092]",2
MV_HQ,0.5025,0.03889087296526015,"[0.4764, 0.5286]",0.47630390262678135,0.010934123805571535,"[0.469, 0.4836]",0.5025,0.03889087296526015,"[0.4764, 0.5286]",2
MV,0.5025,0.03889087296526015,"[0.4764, 0.5286]",0.47630390262678135,0.010934123805571535,"[0.469, 0.4836]",0.5025,0.03889087296526015,"[0.4764, 0.5286]",2
GLAD,0.20750000000000002,0.03181980515339465,"[0.1861, 0.2289]",0.19392073225193765,0.04432434664228027,"[0.1641, 0.2237]",0.20750000000000002,0.03181980515339467,"[0.1861, 0.2289]",2
MultiSPA,0.145,0.12727922061357855,"[0.0595, 0.2305]",0.1338023531809793,0.10860619748693966,"[0.0608, 0.2068]",0.14500000000000002,0.12727922061357855,"[0.0595, 0.2305]",2
GTIC,0.28750000000000003,0.3288046532517446,"[0.0666, 0.5084]",0.2710117009628257,0.31499036050902085,"[0.0594, 0.4826]",0.28750000000000003,0.3288046532517446,"[0.0666, 0.5084]",2
