run,remove_global_lq,n_removed,n_kept,removed_ids
0,True,13,387,"19,42,62,127,182,197,202,211,222,260,299,314,335"
1,True,133,267,"1,3,13,15,16,20,25,26,31,35,36,41,48,51,52,53,54,56,57,60,63,70,72,73,75,79,81,83,99,111,116,117,119,120,126,134,136,139,141,144,146,147,148,149,150,153,155,158,159,162,163,173,178,181,188,192,193,195,196,199,206,207,208,209,210,211,213,216,217,218,221,223,226,227,229,230,231,232,239,240,258,262,264,265,268,275,276,277,279,282,283,284,285,286,289,290,291,292,293,294,295,300,306,308,315,318,330,331,332,346,348,352,353,355,357,358,361,362,364,371,373,374,375,381,382,383,386,387,388,390,394,397,398"
2,True,28,372,"15,16,37,46,53,73,80,129,136,139,141,146,178,218,219,220,230,234,251,255,273,284,287,376,381,387,390,395"
3,True,106,294,"1,2,9,22,28,29,34,35,43,45,48,49,52,53,59,60,61,63,69,71,74,76,77,78,81,84,91,94,96,107,112,114,117,120,122,133,138,140,153,155,156,159,181,183,184,187,190,191,192,195,198,207,208,209,216,222,223,229,230,234,235,239,247,251,254,258,259,261,262,266,274,277,280,283,285,286,290,293,296,302,305,312,313,314,316,317,318,329,344,350,351,356,358,365,366,369,370,371,372,373,377,378,381,382,387,399"
4,True,4,396,"62,238,272,358"
