,Accuracy,Acc sd,Acc CI,Macro F1,F1 sd,F1 CI,Balanced Acc,Bal sd,Bal CI,n_runs,Cluster Acc,Cluster sd,Cluster CI
Eigen_L2,0.6540000000000001,0.19536504293245502,"[0.399, 0.859]",0.5790033619075169,0.2442715611762837,"[0.2711, 0.8532]",0.654,0.1953650429324551,"[0.399, 0.859]",5,0.907,0.041018288603987374,"[0.861, 0.953]"
Likelihood,0.346,0.33029153788736404,"[0.163, 0.864]",0.3476825079831619,0.32921677261213356,"[0.1706, 0.8646]",0.346,0.330291537887364,"[0.163, 0.864]",5,0.907,0.041018288603987374,"[0.861, 0.953]"
Likelihood2,0.39699999999999996,0.3136797730170053,"[0.204, 0.8895]",0.38989795046655057,0.3198104301811481,"[0.1945, 0.8908]",0.39699999999999996,0.3136797730170053,"[0.204, 0.8895]",5,0.9119999999999999,0.034022051672407974,"[0.88, 0.9495]"
Eigen_L2_v2,0.5479999999999999,0.11997916485790354,"[0.3895, 0.694]",0.4545295117049237,0.15810819327746237,"[0.2377, 0.634]",0.5479999999999999,0.11997916485790354,"[0.3895, 0.694]",5,0.9119999999999999,0.034022051672407974,"[0.88, 0.9495]"
Eigen_Oracle,0.7170000000000001,0.22785960589801782,"[0.419, 0.9755]",0.6667600918034039,0.2470794711416084,"[0.3588, 0.9695]",0.7170000000000001,0.2278596058980178,"[0.419, 0.9755]",5,1.0,0.0,"[1.0, 1.0]"
DS,0.4680000000000001,0.26496697907475186,"[0.237, 0.8645]",0.4609103382522555,0.2688653257717842,"[0.2306, 0.8626]",0.4680000000000001,0.26496697907475186,"[0.237, 0.8645]",5,0.798,0.15352524222420236,"[0.626, 0.9185]"
