voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
137,214,379,197,316,275,1212,165,292,305,6,0.0278,2,0.0278,7,3492,36
619,811,740,689,962,2537,766,515,696,1127,5,0.4578,9,0.0120,5,9462,83
1418,530,316,367,376,232,303,438,196,234,0,0.0000,1,0.0000,6,4410,49
366,1544,254,493,210,346,274,203,229,401,1,0.7500,3,0.0000,1,4320,48
785,443,467,390,415,472,593,844,1053,1594,9,0.0000,8,0.1224,4,7056,49
1881,479,486,332,531,504,458,400,380,379,0,0.6000,4,0.0000,0,5830,55
304,495,559,1678,262,288,208,156,354,304,3,0.7292,2,0.0625,3,4608,48
198,166,274,238,400,327,317,232,208,1545,9,0.7273,4,0.0182,9,3905,55
456,433,1944,243,335,466,543,400,509,358,2,0.8298,6,0.0426,2,5687,47
215,269,176,324,294,1183,231,179,244,155,5,0.0333,3,0.0333,4,3270,30
