voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
224,336,313,219,309,264,500,447,1381,393,8,0.5686,6,0.0588,8,4386,51
259,356,1195,395,647,438,621,434,240,387,2,0.0455,4,0.0000,6,4972,44
231,407,1817,421,266,267,267,265,289,270,2,0.7556,3,0.0000,2,4500,45
298,244,224,1349,256,286,189,394,311,364,3,0.4889,7,0.1333,3,3915,45
521,321,272,349,1740,356,414,418,500,353,4,0.6957,0,0.0652,4,5244,46
439,688,721,722,486,637,608,421,619,1931,9,0.5278,3,0.0139,9,7272,72
1627,672,520,519,430,611,712,523,596,573,0,0.4912,6,0.2456,0,6783,57
340,366,550,322,270,1636,280,393,586,207,5,0.8222,8,0.0444,5,4950,45
434,369,197,253,693,304,341,1292,401,318,7,0.0513,4,0.0256,3,4602,39
340,300,388,634,249,519,265,1831,481,649,7,0.5536,9,0.0893,7,5656,56
