voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
2013,410,381,363,352,498,371,343,345,374,0,1.0000,5,0.0000,0,5450,50
336,1747,263,587,266,498,367,383,417,686,1,1.0000,9,0.0000,1,5550,50
398,397,1812,243,287,370,480,380,459,324,2,1.0000,6,0.0000,2,5150,50
326,421,521,1707,278,291,231,167,281,277,3,1.0000,2,0.0000,3,4500,50
774,246,318,254,332,374,530,457,619,1646,9,0.0000,0,0.0000,4,5550,50
262,358,330,318,515,1744,366,222,305,380,5,1.0000,4,0.0000,5,4800,50
346,467,433,519,530,320,1842,398,582,313,6,1.0000,8,0.0000,6,5750,50
604,1813,756,223,382,443,311,493,437,488,1,0.0000,2,0.0000,7,5950,50
227,314,273,250,314,381,344,493,1862,392,8,1.0000,7,0.0000,8,4850,50
249,240,292,310,412,366,418,206,244,1713,9,1.0000,6,0.0000,9,4450,50
