voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
292,377,577,417,541,549,1958,369,816,653,6,0.0169,8,0.0169,7,6549,59
259,380,322,231,495,1849,431,203,328,398,5,0.7647,4,0.0196,5,4896,51
412,506,378,403,1695,352,1109,525,366,330,4,0.0408,6,0.6735,6,6076,49
336,1716,236,642,268,446,315,369,350,516,1,0.8163,3,0.0408,1,5194,49
681,273,319,271,296,295,463,469,603,1620,9,0.0000,0,0.0000,4,5290,46
1877,419,393,344,414,445,402,316,354,394,0,0.8298,5,0.0000,0,5358,47
341,431,540,1676,252,257,208,159,316,282,3,0.7391,2,0.0217,3,4462,46
347,225,293,217,429,343,364,264,248,1638,9,0.7115,4,0.0769,9,4368,52
623,474,1981,276,303,449,547,417,635,379,2,0.7885,8,0.0000,2,6084,52
257,276,235,247,297,285,396,506,1562,300,8,0.6327,7,0.0408,8,4361,49
