voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
318,382,432,323,331,591,374,180,1702,491,8,0.0238,5,0.0000,1,5124,42
315,1458,1381,529,345,261,528,371,831,420,1,0.0213,2,0.0213,7,6439,47
236,637,309,298,227,316,1704,464,286,323,6,0.0208,1,0.0625,4,4800,48
529,341,270,349,325,1874,293,193,346,282,5,0.8571,0,0.0000,5,4802,49
235,1875,1387,339,628,487,870,837,630,601,1,0.0816,2,0.0000,6,7889,49
279,1608,297,318,220,270,181,200,203,224,1,0.0000,3,0.0200,8,3800,50
359,388,295,1870,435,276,579,399,400,357,3,0.8246,6,0.0351,3,5358,57
411,380,1772,515,497,497,874,328,477,354,2,0.0364,6,0.0000,9,6105,55
1872,574,576,366,455,357,466,498,229,437,0,0.8302,2,0.0377,0,5830,53
298,194,1860,437,313,223,313,364,346,702,2,0.8400,9,0.0000,2,5050,50
