,Accuracy,Acc sd,Acc CI,Macro F1,F1 sd,F1 CI,Balanced Acc,Bal sd,Bal CI,n_runs
Eigen_L2,0.6383000000000001,0.16258365368155694,"[0.3519, 0.9029]",0.610676494995703,0.17861608980275887,"[0.3116, 0.9029]",0.6383000000000001,0.16258365368155694,"[0.3519, 0.9029]",100
DS,0.6111999999999999,0.21674371590391817,"[0.23, 0.9226]",0.6004943879950926,0.22257365575278146,"[0.2066, 0.9228]",0.6111999999999999,0.21674371590391817,"[0.23, 0.9226]",100
MV_HQ,0.46930000000000005,0.10803109354124474,"[0.2888, 0.6626]",0.45334360937984586,0.11015092304027499,"[0.2687, 0.6602]",0.46930000000000005,0.10803109354124474,"[0.2888, 0.6626]",100
MV,0.46930000000000005,0.10803109354124474,"[0.2888, 0.6626]",0.45334360937984586,0.11015092304027499,"[0.2687, 0.6602]",0.46930000000000005,0.10803109354124474,"[0.2888, 0.6626]",100
GLAD,0.1383,0.057845230633741154,"[0.055, 0.2376]",0.12260256001376256,0.05822268367351301,"[0.0337, 0.2283]",0.1383,0.057845230633741154,"[0.055, 0.2376]",100
MultiSPA,0.19469999999999998,0.09157659486611591,"[0.0321, 0.3681]",0.18368474441871352,0.08675149793128109,"[0.0352, 0.353]",0.19469999999999998,0.09157659486611591,"[0.0321, 0.3681]",100
GTIC,0.4323999999999999,0.18286507693826168,"[0.1074, 0.7476]",0.42471991039487733,0.18355167575220607,"[0.1042, 0.747]",0.43239999999999995,0.18286507693826168,"[0.1074, 0.7476]",100
