,Accuracy,Acc sd,Acc CI,Macro F1,F1 sd,F1 CI,Balanced Acc,Bal sd,Bal CI,n_runs,Cluster Acc,Cluster sd,Cluster CI
Eigen_L2,0.732,0.11793006402101203,"[0.563, 0.859]",0.6800995274892829,0.13784432494536894,"[0.5012, 0.8538]",0.732,0.11793006402101205,"[0.563, 0.859]",5,0.907,0.041018288603987374,"[0.861, 0.953]"
Likelihood,0.346,0.33029153788736404,"[0.163, 0.864]",0.3476825079831619,0.32921677261213356,"[0.1706, 0.8646]",0.346,0.330291537887364,"[0.163, 0.864]",5,0.907,0.041018288603987374,"[0.861, 0.953]"
Likelihood2,0.40599999999999997,0.3038996544914126,"[0.2155, 0.882]",0.3828294266803313,0.3177722002274332,"[0.1745, 0.8801]",0.40599999999999997,0.3038996544914126,"[0.2155, 0.882]",5,0.916,0.03305298776207679,"[0.8815, 0.958]"
Eigen_L2_v2,0.771,0.1548144050145205,"[0.5625, 0.9385]",0.7340539399702479,0.18452234463212527,"[0.4995, 0.9385]",0.771,0.15481440501452048,"[0.5625, 0.9385]",5,0.916,0.03305298776207679,"[0.8815, 0.958]"
Eigen_Oracle,0.716,0.22636806311845317,"[0.42, 0.9795]",0.6496277622159974,0.27114820644531346,"[0.2933, 0.9729]",0.716,0.22636806311845317,"[0.42, 0.9795]",5,1.0,0.0,"[1.0, 1.0]"
DS,0.4680000000000001,0.26496697907475186,"[0.237, 0.8645]",0.4609103382522555,0.2688653257717842,"[0.2306, 0.8626]",0.4680000000000001,0.26496697907475186,"[0.237, 0.8645]",5,0.798,0.15352524222420236,"[0.626, 0.9185]"
GLAD,0.24300000000000002,0.018907670401189042,"[0.217, 0.2635]",0.24158406592939916,0.01747516693391954,"[0.2188, 0.263]",0.24300000000000002,0.01890767040118903,"[0.217, 0.2635]",5,,,
MultiSPA,0.161,0.06387487769068524,"[0.0855, 0.237]",0.15144737314008716,0.06274228166215061,"[0.0723, 0.2274]",0.161,0.06387487769068524,"[0.0855, 0.237]",5,,,
GTIC,0.499,0.21267345861672537,"[0.2365, 0.73]",0.5023882235979241,0.20829019469782725,"[0.2424, 0.7276]",0.499,0.21267345861672537,"[0.2365, 0.73]",5,,,
