voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
184,1554,364,216,330,553,259,548,277,321,1,0.0000,5,0.1429,0,4606,49
406,1448,277,327,355,314,282,210,297,314,1,0.6809,0,0.0851,1,4230,47
865,146,139,107,114,97,131,123,165,138,0,0.0000,8,0.1481,9,2025,27
395,768,1181,290,322,309,357,429,251,256,2,0.3023,1,0.0000,2,4558,43
540,1231,609,448,446,543,1888,533,482,975,6,0.0000,1,0.0000,8,7695,57
325,319,269,348,242,307,240,1709,256,253,7,0.0682,3,0.0000,6,4268,44
595,519,643,512,600,1725,638,592,375,366,5,0.4154,2,0.2308,5,6565,65
271,1410,246,431,773,468,208,387,279,277,1,0.0000,4,0.0526,9,4750,38
334,378,439,540,607,615,955,1467,294,371,7,0.0417,6,0.0000,3,6000,48
1337,871,779,2030,1002,1211,661,1031,859,715,3,0.3293,0,0.0244,3,10496,82
