voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
547,2272,376,443,441,367,493,301,369,775,1,0.7018,9,0.0000,1,6384,57
204,240,219,238,1525,267,380,191,254,300,4,0.6739,6,0.0217,4,3818,46
812,684,590,511,1551,1875,813,813,739,656,5,0.0441,4,0.0588,2,9044,68
153,158,116,180,128,142,132,196,1011,154,8,0.8333,7,0.0000,8,2370,30
1767,499,1201,505,970,1004,511,829,507,634,0,0.5849,2,0.0377,0,8427,53
390,303,567,260,509,584,678,1687,452,270,7,0.0167,6,0.0500,3,5700,60
289,294,430,261,359,358,390,485,354,1370,9,0.3922,7,0.0000,8,4590,51
330,657,468,321,280,252,360,1110,336,371,7,0.5641,1,0.0256,7,4485,39
491,382,421,291,311,454,1742,592,272,288,6,0.0435,7,0.0217,5,5244,46
1541,1597,644,585,656,593,570,475,343,396,1,0.0000,0,0.0200,6,7400,50
