voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
379,344,200,343,1685,525,444,357,406,177,4,0.0000,5,0.0000,3,4860,45
311,416,343,284,333,375,228,233,272,1667,9,0.8913,1,0.0435,9,4462,46
332,1710,328,281,256,192,351,326,309,283,1,0.7708,6,0.0000,1,4368,48
433,288,1765,241,533,326,439,507,336,537,2,0.8936,9,0.0000,2,5405,47
272,316,290,351,443,488,1732,262,243,397,6,0.8039,5,0.0000,6,4794,51
1698,173,329,358,292,243,255,217,364,253,0,0.8039,8,0.0196,0,4182,51
189,251,176,199,1617,279,408,349,332,430,4,0.8444,9,0.0000,4,4230,45
449,290,295,367,240,555,364,1608,255,269,7,0.8235,5,0.0392,7,4692,51
332,500,357,269,530,2229,389,419,381,435,5,0.7288,4,0.0169,5,5841,59
354,284,392,335,481,475,366,513,1856,359,8,0.7544,7,0.0175,8,5415,57
