voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
1486,450,390,1154,269,233,276,473,215,346,0,0.8095,3,0.0238,0,5292,42
472,208,391,206,271,194,695,314,1432,362,8,0.0222,6,0.0222,3,4545,45
310,268,1787,219,249,414,385,332,367,604,2,0.8936,9,0.0213,2,4935,47
406,200,410,205,1231,187,340,179,269,221,4,0.0000,2,0.0000,9,3648,38
378,363,1711,300,155,370,319,368,426,308,2,0.0370,8,0.0185,1,4698,54
400,396,1887,777,228,442,446,315,580,329,2,0.0000,3,0.0000,7,5800,50
2069,1013,1129,1010,504,709,562,920,554,728,0,0.1781,2,0.0411,8,9198,73
217,190,262,174,151,1397,191,302,286,233,5,0.7805,7,0.0000,5,3403,41
1085,389,426,421,613,701,1966,296,464,711,6,0.7308,0,0.0000,6,7072,52
271,383,392,445,1878,327,545,301,356,380,4,0.6207,6,0.0000,4,5278,58
