voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
417,418,1973,378,392,447,546,404,559,342,2,0.7115,8,0.0385,2,5876,52
648,1659,640,233,488,508,284,367,441,532,1,0.0400,0,0.0000,7,5800,50
1810,411,303,333,319,472,308,307,322,359,0,0.8542,5,0.0000,0,4944,48
288,230,325,247,399,347,356,252,230,1687,9,0.8163,4,0.0204,9,4361,49
230,336,310,248,292,341,343,464,1762,378,8,0.8125,7,0.0208,8,4704,48
438,432,452,475,437,1919,426,404,1000,515,5,0.0000,8,0.0526,6,6498,57
342,465,378,351,600,2117,426,263,431,483,5,0.7541,4,0.0492,5,5856,61
263,682,1435,504,324,430,402,913,527,301,2,0.0000,7,0.0732,4,5781,41
360,1728,310,423,273,444,381,361,400,364,1,0.7500,5,0.0192,1,5044,52
287,432,472,1499,227,255,199,147,321,235,3,0.7619,2,0.0476,3,4074,42
