voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
306,335,594,286,277,1537,267,235,435,180,5,0.9762,2,0.0000,5,4452,42
441,221,318,248,483,277,280,1686,330,408,7,0.0000,4,0.0217,3,4692,46
339,1849,267,326,414,373,280,445,210,342,1,0.7843,7,0.0588,1,4845,51
1720,402,310,449,281,468,475,502,330,519,0,0.8864,9,0.0000,0,5456,44
289,379,549,385,254,325,315,372,506,1930,9,0.8654,2,0.0000,9,5304,52
188,538,479,364,451,380,1628,279,484,407,6,0.7609,1,0.0000,6,5198,46
605,369,399,442,2073,516,362,531,647,381,4,0.7455,8,0.0000,4,6325,55
322,395,437,319,422,283,649,529,2025,536,8,0.7377,6,0.0164,8,5917,61
319,174,288,331,209,261,186,1694,268,441,7,0.8837,9,0.0000,7,4171,43
484,522,2297,589,397,480,414,429,415,333,2,0.7500,3,0.0833,2,6360,60
