voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
253,327,358,541,356,674,1799,273,315,504,6,0.0800,5,0.0200,0,5400,50
1493,412,357,718,1620,1037,724,537,359,573,4,0.0000,0,0.0345,2,7830,58
225,229,1472,727,484,266,346,235,139,263,2,0.0000,3,0.0233,4,4386,43
222,131,321,166,246,194,340,166,1441,251,8,0.8511,6,0.0000,8,3478,47
210,224,209,310,328,268,242,1598,345,226,7,0.8444,8,0.0000,7,3960,45
714,585,410,741,581,380,648,1214,1783,696,8,0.0351,7,0.0526,5,7752,57
178,1625,220,378,314,216,169,250,352,258,1,0.7636,3,0.0182,1,3960,55
538,455,412,484,439,533,500,572,400,1766,9,0.5439,7,0.1053,9,6099,57
370,251,346,293,294,411,1629,165,297,344,6,0.7273,5,0.1136,6,4400,44
233,199,219,1607,480,269,376,260,381,244,3,0.9318,4,0.0000,3,4268,44
