voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
1864,378,403,475,621,530,414,320,439,551,0,0.0000,4,0.0364,7,5995,55
2115,383,490,362,650,418,499,427,539,441,0,0.7419,4,0.0161,0,6324,62
367,211,1666,216,254,232,225,309,350,259,2,0.7447,0,0.0213,2,4089,47
235,191,506,288,315,1755,215,305,272,286,5,0.8214,2,0.0000,5,4368,56
279,311,441,289,214,466,272,242,1532,266,8,0.0227,5,0.0000,4,4312,44
311,433,537,215,281,247,348,207,456,1805,9,0.7818,2,0.0364,9,4840,55
407,390,218,372,261,321,1709,374,388,436,6,0.8043,9,0.0000,6,4876,46
267,248,366,1588,278,259,358,282,215,195,3,0.8718,2,0.0513,3,4056,39
419,529,408,556,340,252,692,373,1836,295,8,0.8400,6,0.0000,8,5700,50
375,1697,288,358,258,340,361,225,254,306,1,0.8696,0,0.0000,1,4462,46
